id,rmsd,num_atoms,composition,volume_diff
A-1047,29.27912978784221,8,Eu2 Pd2 Sn4,19979.80832091313
A-191,11.446335867630237,10,Ba2 O6 Pu1 Sn1,967.7759203691808
A-43,28.94951494405249,8,In3 Pd4 Y1,4608.410086828181
A-1547,20.199862131629683,16,Rh6 S8 Th2,6618.413837611822
A-1572,31.955834907735767,14,Cu2 Er2 Pb3 S7,29468.61417975762
A-1874,12.666426434665302,14,B1 C6 Dy5 Os2,5844.350060385058
A-1193,24.636210131285644,9,Mg3 Pr1 Rh3 Sm2,7981.372231078622
A-1440,34.14921912833409,18,Br2 Cs6 I8 Zn2,38320.094133758954
A-758,10.412340995735418,16,Cu7 Li1 O8,2817.409392020039
A-968,12.986791757763473,8,Al3 Au1 Ti4,3523.7023944970797
A-812,17.010112703893764,20,Ca2 La2 Li2 O12 Ru2,293.95701355182507
A-869,31.5111720385372,24,Hg1 In5 Rh2 Tm16,27673.768565313057
A-1305,12.44645770483612,6,Al1 Ni3 Pt1 Zr1,199.7811584863864
A-1944,10.65627928392612,18,O12 Pd2 Sb4,2529.851763556044
A-1340,10.01186298411776,18,Fe2 Mn2 O12 Sb2,52.893956691154074
A-126,10.575398113415888,4,Cd2 Er1 Yb1,1013.0224227969672
A-1692,22.923104632867783,6,Au3 Ga1 Pr2,9417.253953256357
A-1366,20.975644726139283,12,C2 K2 O6 Rb2,8733.713914541326
A-1326,16.015488647061854,12,Ce4 F2 O6,5290.212850400948
A-401,15.622342216118124,6,Ag2 F3 K1,1766.2101838841015
A-1497,18.253026812744153,6,Au3 Ca2 Sn1,6657.966648767141
A-282,11.360031102506984,20,Ba4 O12 Pr2 Re2,1131.526170701425
A-1281,14.426840618572216,18,F12 Li2 Sn2 V2,508.96492908113066
A-857,42.57199660579014,20,C8 Dy3 Er5 Os3 V1,13448.08790008149
A-1385,14.576517545006693,8,Gd3 P2 Rh3,3007.267430193869
A-1528,17.358493485737892,14,Cu4 Ga5 Pt2 Yb3,21552.07559237785
A-1830,31.93536400260075,16,Na2 P2 S10 Ti2,44192.64115253206
A-1327,14.87889063633962,20,Ca2 Fe4 Gd2 O12,2094.2779370000185
A-1637,29.427683565311263,12,Eu4 Ni4 Sb4,12647.668532658587
A-1708,15.112323700637736,5,Au2 Cd1 Eu2,7823.034951386549
A-1032,12.935597101959708,22,O14 Pd2 Pt2 Tb4,645.025796207764
A-1733,15.94016053726972,10,Ca1 Nd1 O6 Y1 Zr1,4361.924724653231
A-1384,22.85983672789023,18,Al1 Ga2 Hf10 Sb5,5718.704163946058
A-1727,12.394455341194318,9,Ba2 O2 Sb2 Se3,2638.193283496412
A-449,21.431815965966763,15,Mg1 O9 Sb1 Sr3 Ta1,8492.339999361107
A-1208,17.960760039905647,10,F5 K1 Li4,6261.038510205371
A-360,13.240496915376252,20,Al1 Ga1 Nd6 Se12,57.01643393630843
A-1785,3.8091382960562044,4,Ag1 Pb1 Y1 Yb1,72.86038703224237
A-1983,19.148912489004825,18,Ga4 Ni9 Sm3 Sn2,17554.359229535145
A-1815,14.991996416537091,6,Au1 Ca2 Si3,3562.816226618923
A-1389,48.61006589381587,20,Ba4 Hf3 Nb1 O12,22215.84772247481
A-55,16.522023757600795,18,Cs2 Gd2 Na2 O10 Ta2,1094.925764280671
A-1308,38.13204458910123,14,I2 O6 Sc2 Sr4,9773.820180636492
A-1350,17.23598425856602,20,Ga8 Mg12,6115.820809409708
A-1776,20.75033393672088,20,Hf4 I16,13924.038399657384
A-1539,29.74710771350049,10,Al1 Ba2 Bi4 Li3,32025.343697737306
A-966,25.6463338703997,18,Al1 Ga1 Ni4 Sc12,4064.4236248388524
